id	classname	curr	new	AL	category	coverage
102	sleevesleather	540	200	20	Light	2
103	sleevesplatemail	1099	1600	100	Heavy	2
104	sleevesscalemail	533	400	75	Light	2
105	sleevesstuddedleather	575	400	30	Medium	2
106	sleevesyoroi	600	800	80	Medium	2
107	sollerets	540	800	100	Heavy	1
108	tassetschainmail	280	400	50	Heavy	1
109	tassetsleather	420	100	20	Light	1
110	tassetsplatemail	919	800	100	Heavy	1
111	tassetsscalemail	533	200	75	Light	1
112	tassetsstuddedleather	450	200	30	Medium	1
113	tassetsyoroi	450	400	80	Medium	1
114	vambracesplatemail	540	800	100	Heavy	1
115	bootsleather	420	100	20	Light	1
116	bootsreinforcedleather	690	200	30	Medium	1
129	sandals	90	50	10	Light	1
413	bracerschainmail	300	400	50	Heavy	1
414	breastplatechainmail	932	1000	50	Heavy	1
415	girthchainmail	466	400	50	Heavy	1
416	pauldronschainmail	400	400	50	Heavy	1
458	cowlleather	188	75	20	Light	1
550	baigha	533	300	100	Light	1
551	basinetleather	330	150	40	Light	1
552	basinetscalemail	360	300	88	Light	1
554	basinetstuddedleather	375	300	50	Medium	1
723	cowlstuddedleather	255	150	30	Medium	1
793	coifscale	266	300	75	Light	1
1444	bootsinsulated	430	100	20	Light	1
1453	bracersfire	270	100	20	Light	1
1454	breastplateyoroiacid	1825	1000	60	Medium	1
1458	helmfiery	1000	1200	100	Heavy	1
1518	helmsuperior	600	600	120	Medium	1
2017	greenmirescalehauberk	915	1400	120	Medium	2
2027	helmalatar	500	1200	100	Heavy	1
2028	hauberkplatealatar	3300	4400	100	Heavy	4
2032	shirtstuddedleatherbranith	700	900	200	Medium	3
2033	breastplateplatefeather	1100	500	100	Light	1
2034	bracersplatefeather	140	200	32	Light	1
2035	girthplatefeather	900	200	100	Light	1
2036	greavesplatefeather	800	200	100	Light	1
2037	hauberkplatefeather	2400	1100	100	Light	4
2038	leggingsplatefeather	1000	400	100	Light	2
2039	sleevesplatefeather	900	400	100	Light	2
2437	leggingsyoroi	1099	800	80	Medium	2
2605	greaveschainmail	280	400	50	Heavy	1
2606	boots	420	100	0	Light	1
3706	cuirassolthoi	2400	1400	280	Medium	2
3715	helmolthoi	600	1200	230	Heavy	1
4222	bracersarmoredillohide	420	100	50	Light	1
4223	breastplatearmoredillohide	420	250	60	Light	1
4224	coatarmoredillohide	810	550	90	Light	4
4225	pauldronsgromniehide	420	100	50	Light	1
4226	cuirassgromniehide	540	350	60	Light	2
4227	shirtgromniehide	810	450	90	Light	3
4228	greavesreedsharkhide	420	100	60	Light	1
4229	leggingsreedsharkhide	960	200	60	Light	2
4230	sleevesmattekarhide	810	200	80	Light	2
4231	coatmattekarhide	810	550	120	Light	4
4981	heaumeicefrore	1100	1200	160	Heavy	1
6003	breastplatekoujia	1415	1250	95	Medium	1
6004	leggingskoujia	2247	1500	95	Medium	3
6005	sleeveskoujia	1375	1000	95	Medium	2
6043	girthceldon	1248	1000	110	Heavy	1
6044	breastplateceldon	2400	2500	110	Heavy	1
6045	leggingsceldon	2400	2000	110	Heavy	2
6046	coatamullian	1665	1350	90	Light	3
6047	leggingsamullian	3188	900	90	Light	3
6048	sleevesceldon	1400	2000	110	Heavy	2
6593	breastplateceldonshadow	3200	2500	150	Heavy	1
6594	breastplateceldonshadowgreater	3100	2500	210	Heavy	1
6595	breastplateceldonshadowlesser	3250	2500	100	Heavy	1
6596	breastplatekoujiashadow	1725	1250	135	Medium	1
6597	breastplatekoujiashadowgreater	1675	1250	195	Medium	1
6598	breastplatekoujiashadowlesser	1800	1250	85	Medium	1
6599	coatamullianshadow	1725	1350	130	Light	3
6600	coatamullianshadowgreater	1600	1350	190	Light	3
6601	coatamullianshadowlesser	1850	1350	80	Light	3
6602	girthceldonshadow	1475	1000	150	Heavy	1
6603	girthceldonshadowgreater	1375	1000	210	Heavy	1
6604	girthceldonshadowlesser	1625	1000	100	Heavy	1
6605	leggingsamullianshadow	2163	900	130	Light	3
6606	leggingsamullianshadowgreater	2288	900	190	Light	3
6607	leggingsamullianshadowlesser	2538	900	80	Light	3
6608	leggingsceldonshadow	3200	2000	150	Heavy	2
6609	leggingsceldonshadowgreater	3100	2000	210	Heavy	2
6610	leggingsceldonshadowlesser	3250	2000	100	Heavy	2
6611	leggingskoujiashadow	2600	1500	135	Medium	3
6612	leggingskoujiashadowgreater	2700	250	195	Medium	3
6613	leggingskoujiashadowlesser	2725	750	85	Medium	3
6614	sleevesceldonshadow	1700	2000	150	Heavy	2
6615	sleevesceldonshadowgreater	1600	2000	210	Heavy	2
6616	sleevesceldonshadowlesser	1750	2000	100	Heavy	2
6617	sleeveskoujiashadow	1000	1000	135	Medium	2
6618	sleeveskoujiashadowgreater	925	1000	195	Medium	2
6619	sleeveskoujiashadowlesser	1050	1000	85	Medium	2
6797	breastplateceldonnexus	3300	2500	260	Heavy	1
6798	breastplatekoujianexus	1875	1250	245	Medium	1
6799	coatamulliannexus	2000	1350	240	Light	3
6800	girthceldonnexus	1575	1000	260	Heavy	1
6801	leggingsamulliannexus	2688	900	240	Light	3
6802	leggingsceldonnexus	3300	2000	260	Heavy	2
6803	leggingskoujianexus	3100	1500	245	Medium	3
6804	sleevesceldonnexus	1800	2000	260	Heavy	2
6805	sleeveskoujianexus	1125	1000	245	Medium	2
6842	hauberkneydisa	1875	2200	100	Heavy	4
7400	heaumetransparenthead	630	1200	150	Heavy	1
7628	breastplateceldonshadowgreaternew	2100	2500	255	Heavy	1
7629	breastplateceldonshadowgreaternewacid	2100	2500	255	Heavy	1
7630	breastplateceldonshadowgreaternewfire	2100	2500	255	Heavy	1
7631	breastplateceldonshadowgreaternewfrost	2100	2500	255	Heavy	1
7632	breastplateceldonshadowgreaternewlightning	2100	2500	255	Heavy	1
7633	breastplateceldonshadowlessernew	2100	2500	150	Heavy	1
7634	breastplateceldonshadowlessernewacid	2100	2500	150	Heavy	1
7635	breastplateceldonshadowlessernewfire	2100	2500	150	Heavy	1
7636	breastplateceldonshadowlessernewfrost	2100	2500	150	Heavy	1
7637	breastplateceldonshadowlessernewlightning	2100	2500	150	Heavy	1
7638	breastplateceldonshadownew	2100	2500	190	Heavy	1
7639	breastplateceldonshadownewacid	2100	2500	190	Heavy	1
7640	breastplateceldonshadownewfire	2100	2500	190	Heavy	1
7641	breastplateceldonshadownewfrost	2100	2500	190	Heavy	1
7642	breastplateceldonshadownewlightning	2100	2500	190	Heavy	1
7643	breastplatekoujiashadowgreaternew	1300	1250	240	Medium	1
7644	breastplatekoujiashadowgreaternewacid	1300	1250	240	Medium	1
7645	breastplatekoujiashadowgreaternewfire	1300	1250	240	Medium	1
7646	breastplatekoujiashadowgreaternewfrost	1300	1250	240	Medium	1
7647	breastplatekoujiashadowgreaternewlightning	1300	1250	240	Medium	1
7648	breastplatekoujiashadowlessernew	1300	1250	135	Medium	1
7649	breastplatekoujiashadowlessernewacid	1300	1250	135	Medium	1
7650	breastplatekoujiashadowlessernewfire	1300	1250	135	Medium	1
7651	breastplatekoujiashadowlessernewfrost	1300	1250	135	Medium	1
7652	breastplatekoujiashadowlessernewlightning	1300	1250	135	Medium	1
7653	breastplatekoujiashadownew	1300	1250	175	Medium	1
7654	breastplatekoujiashadownewacid	1300	1250	175	Medium	1
7655	breastplatekoujiashadownewfire	1300	1250	175	Medium	1
7656	breastplatekoujiashadownewfrost	1300	1250	175	Medium	1
7657	breastplatekoujiashadownewlightning	1300	1250	175	Medium	1
7658	coatamullianshadowgreaternew	1500	1350	235	Light	3
7659	coatamullianshadowgreaternewacid	1500	1350	235	Light	3
7660	coatamullianshadowgreaternewfire	1500	1350	235	Light	3
7661	coatamullianshadowgreaternewfrost	1500	1350	235	Light	3
7662	coatamullianshadowgreaternewlightning	1500	1350	235	Light	3
7663	coatamullianshadowlessernew	1500	1350	130	Light	3
7664	coatamullianshadowlessernewacid	1500	1350	130	Light	3
7665	coatamullianshadowlessernewfire	1500	1350	130	Light	3
7666	coatamullianshadowlessernewfrost	1500	1350	130	Light	3
7667	coatamullianshadowlessernewlightning	1500	1350	130	Light	3
7668	coatamullianshadownew	1500	1350	170	Light	3
7669	coatamullianshadownewacid	1500	1350	170	Light	3
7670	coatamullianshadownewfire	1500	1350	170	Light	3
7671	coatamullianshadownewfrost	1500	1350	170	Light	3
7672	coatamullianshadownewlightning	1500	1350	170	Light	3
7673	coatamullianshadownewtest	1500	1350	170	Light	3
7674	girthceldonshadowgreaternew	875	1000	255	Heavy	1
7675	girthceldonshadowgreaternewacid	875	1000	255	Heavy	1
7676	girthceldonshadowgreaternewfire	875	1000	255	Heavy	1
7677	girthceldonshadowgreaternewfrost	875	1000	255	Heavy	1
7678	girthceldonshadowgreaternewlightning	875	1000	255	Heavy	1
7679	girthceldonshadowlessernew	875	1000	150	Heavy	1
7680	girthceldonshadowlessernewacid	875	1000	150	Heavy	1
7681	girthceldonshadowlessernewfire	875	1000	150	Heavy	1
7682	girthceldonshadowlessernewfrost	875	1000	150	Heavy	1
7683	girthceldonshadowlessernewlightning	875	1000	150	Heavy	1
7684	girthceldonshadownew	875	1000	190	Heavy	1
7685	girthceldonshadownewacid	875	1000	190	Heavy	1
7686	girthceldonshadownewfire	875	1000	190	Heavy	1
7687	girthceldonshadownewfrost	875	1000	190	Heavy	1
7688	girthceldonshadownewlightning	875	1000	190	Heavy	1
7689	leggingsamullianshadowgreaternew	2100	900	235	Light	3
7690	leggingsamullianshadowgreaternewacid	2100	900	235	Light	3
7691	leggingsamullianshadowgreaternewfire	2100	900	235	Light	3
7692	leggingsamullianshadowgreaternewfrost	2100	900	235	Light	3
7693	leggingsamullianshadowgreaternewlightning	2100	900	235	Light	3
7694	leggingsamullianshadowlessernew	2100	900	130	Light	3
7695	leggingsamullianshadowlessernewacid	2100	900	130	Light	3
7696	leggingsamullianshadowlessernewfire	2100	900	130	Light	3
7697	leggingsamullianshadowlessernewfrost	2100	900	130	Light	3
7698	leggingsamullianshadowlessernewlightning	2100	900	130	Light	3
7699	leggingsamullianshadownew	2100	900	170	Light	3
7700	leggingsamullianshadownewacid	2100	900	170	Light	3
7701	leggingsamullianshadownewfire	2100	900	170	Light	3
7702	leggingsamullianshadownewfrost	2100	900	170	Light	3
7703	leggingsamullianshadownewlightning	2100	900	170	Light	3
7704	leggingsamullianshadownewtest	2100	900	170	Light	3
7705	leggingsceldonshadowgreaternew	2100	2000	255	Heavy	2
7706	leggingsceldonshadowgreaternewacid	2100	2000	255	Heavy	2
7707	leggingsceldonshadowgreaternewfire	2100	2000	255	Heavy	2
7708	leggingsceldonshadowgreaternewfrost	2100	2000	255	Heavy	2
7709	leggingsceldonshadowgreaternewlightning	2100	2000	255	Heavy	2
7710	leggingsceldonshadowlessernew	2100	2000	150	Heavy	2
7711	leggingsceldonshadowlessernewacid	2100	2000	150	Heavy	2
7712	leggingsceldonshadowlessernewfire	2100	2000	150	Heavy	2
7713	leggingsceldonshadowlessernewfrost	2100	2000	150	Heavy	2
7714	leggingsceldonshadowlessernewlightning	2100	2000	150	Heavy	2
7715	leggingsceldonshadownew	2100	2000	190	Heavy	2
7716	leggingsceldonshadownewacid	2100	2000	190	Heavy	2
7717	leggingsceldonshadownewfire	2100	2000	190	Heavy	2
7718	leggingsceldonshadownewfrost	2100	2000	190	Heavy	2
7719	leggingsceldonshadownewlightning	2100	2000	190	Heavy	2
7720	leggingskoujiashadowgreaternew	2200	1500	240	Medium	3
7721	leggingskoujiashadowgreaternewacid	2200	1500	240	Medium	3
7722	leggingskoujiashadowgreaternewfire	2200	1500	240	Medium	3
7723	leggingskoujiashadowgreaternewfrost	2200	1500	240	Medium	3
7724	leggingskoujiashadowgreaternewlightning	2200	1500	240	Medium	3
7725	leggingskoujiashadowlessernew	2200	1500	135	Medium	3
7726	leggingskoujiashadowlessernewacid	2200	1500	135	Medium	3
7727	leggingskoujiashadowlessernewfire	2200	1500	135	Medium	3
7728	leggingskoujiashadowlessernewfrost	2200	1500	135	Medium	3
7729	leggingskoujiashadowlessernewlightning	2200	1500	135	Medium	3
7730	leggingskoujiashadownew	2200	1500	175	Medium	3
7731	leggingskoujiashadownewacid	2200	1500	175	Medium	3
7732	leggingskoujiashadownewfire	2200	1500	175	Medium	3
7733	leggingskoujiashadownewfrost	2200	1500	175	Medium	3
7734	leggingskoujiashadownewlightning	2200	1500	175	Medium	3
7735	sleevesceldonshadowgreaternew	1100	2000	255	Heavy	2
7736	sleevesceldonshadowgreaternewacid	1100	2000	255	Heavy	2
7737	sleevesceldonshadowgreaternewfire	1100	2000	255	Heavy	2
7738	sleevesceldonshadowgreaternewfrost	1100	2000	255	Heavy	2
7739	sleevesceldonshadowgreaternewlightning	1100	2000	255	Heavy	2
7740	sleevesceldonshadowlessernew	1100	2000	150	Heavy	2
7741	sleevesceldonshadowlessernewacid	1100	2000	150	Heavy	2
7742	sleevesceldonshadowlessernewfire	1100	2000	150	Heavy	2
7743	sleevesceldonshadowlessernewfrost	1100	2000	150	Heavy	2
7744	sleevesceldonshadowlessernewlightning	1100	2000	150	Heavy	2
7745	sleevesceldonshadownew	1100	2000	190	Heavy	2
7746	sleevesceldonshadownewacid	1100	2000	190	Heavy	2
7747	sleevesceldonshadownewfire	1100	2000	190	Heavy	2
7748	sleevesceldonshadownewfrost	1100	2000	190	Heavy	2
7749	sleevesceldonshadownewlightning	1100	2000	190	Heavy	2
7750	sleeveskoujiashadowgreaternew	825	1000	240	Medium	2
7751	sleeveskoujiashadowgreaternewacid	825	1000	240	Medium	2
7752	sleeveskoujiashadowgreaternewfire	925	1000	240	Medium	2
7753	sleeveskoujiashadowgreaternewfrost	825	1000	240	Medium	2
7754	sleeveskoujiashadowgreaternewlightning	925	1000	240	Medium	2
7755	sleeveskoujiashadowlessernew	825	1000	135	Medium	2
7756	sleeveskoujiashadowlessernewacid	825	1000	135	Medium	2
7757	sleeveskoujiashadowlessernewfire	825	1000	135	Medium	2
7758	sleeveskoujiashadowlessernewfrost	825	1000	135	Medium	2
7759	sleeveskoujiashadowlessernewlightning	825	1000	135	Medium	2
7760	sleeveskoujiashadownew	825	1000	175	Medium	2
7761	sleeveskoujiashadownewacid	825	1000	175	Medium	2
7762	sleeveskoujiashadownewfire	825	1000	175	Medium	2
7763	sleeveskoujiashadownewfrost	825	1000	175	Medium	2
7764	sleeveskoujiashadownewlightning	825	1000	175	Medium	2
7897	bootssteeltoe	750	400	60	Heavy	1
8148	maskbanderling	200	150	10	Light	1
8149	maskdrudge	150	150	10	Light	1
8150	maskmosswart	150	150	10	Light	1
8151	maskskull	200	150	10	Light	1
8152	masktusker	600	150	10	Light	1
8153	maskvirindi	300	150	180	Light	1
8204	regaliaaluvian	800	600	230	Light	1
8205	regaliagharundim	600	600	230	Light	1
8206	regaliasho	700	600	230	Light	1
8394	helmolthoinew	600	1200	230	Heavy	1
8396	heaumeold	600	1200	150	Heavy	1
8472	shirtarmoredillohide	900	450	130	Light	3
8488	armet	600	1200	150	Heavy	1
8489	heaumenew	600	1200	150	Heavy	1
8655	gauntletsshreth	225	100	75	Medium	1
8659	pantsshreth	900	400	110	Medium	2
8660	shoesshreth	450	200	100	Medium	1
8661	coatursuin	810	550	120	Light	4
8662	girthursuin	350	200	60	Medium	1
8663	helmetursuin	375	300	180	Medium	1
8679	basinetleathernewbiequest	200	150	80	Light	1
8680	basinetleatherrarenewbiequest	200	150	80	Light	1
8681	bootsleathernewbiequest	300	100	80	Light	1
8682	bootsleatherrarenewbiequest	300	100	80	Light	1
8685	bracersleathernewbiequest	200	100	80	Light	1
8686	bracersleatherrarenewbiequest	200	100	80	Light	1
8687	breastplateleathernewbiequest	300	250	80	Light	1
8688	breastplateleatherrarenewbiequest	300	250	80	Light	1
8695	girthleathernewbiequest	220	100	80	Light	1
8696	girthleatherrarenewbiequest	220	100	80	Light	1
8699	leggingsleathernewbiequest	600	200	80	Light	2
8700	leggingsleatherrarenewbiequest	600	200	80	Light	2
8706	pauldronsleathernewbiequest	300	100	80	Light	1
8707	pauldronsleatherrarenewbiequest	300	100	80	Light	1
8710	sleevesleathernewbiequest	400	200	80	Light	2
8711	sleevesleatherrarenewbiequest	400	200	80	Light	2
8785	shirtscalemailempyrean	1200	900	150	Light	3
8787	heaumenewshadowleader	500	1200	250	Heavy	1
8868	leggingsamullianweavers	10	900	240	Light	3
8875	coatamulliangroomsteele	2500	1350	90	Light	3
8876	leggingsamulliangroomsteele	3188	900	90	Light	3
8877	coatamullianbestmansteele	2500	1350	90	Light	3
8878	leggingsamullianbestmansteele	3188	900	90	Light	3
8896	coatmattekar	810	550	120	Light	4
9021	bootsmariobros	500	200	50	Medium	1
9240	bootssnakeskin	450	200	100	Medium	1
9241	bootsursuin	420	100	80	Light	1
9245	coatsclavus	1000	1350	130	Light	1
9246	coatursuinsummer	810	550	80	Light	4
9247	helmetsclavus	900	300	200	Medium	1
9389	hauberkbastion	2200	4400	160	Heavy	4
9390	hauberklugian	2000	4400	160	Heavy	4
9392	helmcrag	900	450	240	Light	1
9393	mattekararmguard	500	200	80	Light	1
9489	sleevesinexhaustibility	270	200	150	Light	2
10701	helmetniffis	250	150	210	Medium	1
10766	bracersmanacles	600	800	140	Heavy	1
10920	boygrubmask-xp	150	150	125	Light	1
11985	coatursuindread	1100	1350	150	Light	1
11990	gauntletsmosswarthighboss	450	100	130	Medium	1
11998	maskvirindiinquisitor	300	300	200	Light	1
12126	bunnyslippers	350	100	10	Light	1
12138	helmsimulacra	600	1200	80	Heavy	1
12139	helmsimulacraimbued	600	1200	100	Heavy	1
12156	slippersbunnywhite	350	100	30	Light	1
12192	regaliagharundimmonsteronly	600	600	390	Light	1
12206	maskdoll	200	150	10	Light	1
12207	masknohead	150	150	10	Light	1
12208	maskscarecrow	20	150	10	Light	1
12209	masksclavus	200	150	10	Light	1
12210	maskursuin	300	150	10	Light	1
12211	maskzombie	150	150	10	Light	1
12212	regaliaaluvianhi	800	600	250	Light	1
12213	regaliagharundimhi	600	600	250	Light	1
12214	regaliashohi	700	600	250	Light	1
12252	maskvirindiobsidiandirector	300	150	120	Light	1
13210	coatacademycolor1	600	550	30	Light	4
13211	coatacademycolor2	600	550	30	Light	4
13212	coatacademycolor3	600	550	30	Light	4
13213	coatacademycolor4	600	550	30	Light	4
13214	coatacademycolor5	600	550	30	Light	4
13215	coatacademycolor6	600	550	30	Light	4
13216	coatacademycolor7	600	550	30	Light	4
13217	coatacademycolor8	600	550	30	Light	4
13218	coatacademycolor9	600	550	30	Light	4
13219	coatacademycolor10	600	550	30	Light	4
13239	capleatheracademy	100	75	20	Light	1
13240	gauntletsleatheracademy	270	50	20	Light	1
13241	leggingsleatheracademy	960	200	20	Light	2
14594	helmprismatic	300	300	225	Medium	1
14823	breastplateceldonshadowgreater0	3100	2500	210	Heavy	1
14824	breastplateceldonshadowgreater1	3100	2500	210	Heavy	1
14825	breastplateceldonshadowgreater2	3100	2500	210	Heavy	1
14826	breastplateceldonshadowgreater3	3100	2500	210	Heavy	1
14827	breastplatekoujiashadowgreater0	1675	1250	195	Medium	1
14828	breastplatekoujiashadowgreater1	1675	1250	195	Medium	1
14829	breastplatekoujiashadowgreater2	1675	1250	195	Medium	1
14830	breastplatekoujiashadowgreater3	1675	1250	195	Medium	1
14831	coatamullianshadowgreater0	1600	1350	190	Light	3
14832	coatamullianshadowgreater1	1600	1350	190	Light	3
14833	coatamullianshadowgreater2	1600	1350	190	Light	3
14834	coatamullianshadowgreater3	1600	1350	190	Light	3
14835	girthceldonshadowgreater0	1375	1000	210	Heavy	1
14836	girthceldonshadowgreater1	1375	1000	210	Heavy	1
14837	girthceldonshadowgreater2	1375	1000	210	Heavy	1
14838	girthceldonshadowgreater3	1375	1000	210	Heavy	1
14839	leggingsamullianshadowgreater0	2288	900	190	Light	3
14840	leggingsamullianshadowgreater1	2288	900	190	Light	3
14841	leggingsamullianshadowgreater2	2288	900	190	Light	3
14842	leggingsamullianshadowgreater3	2288	900	190	Light	3
14843	leggingsceldonshadowgreater0	3100	2000	210	Heavy	2
14844	leggingsceldonshadowgreater1	3100	2000	210	Heavy	2
14845	leggingsceldonshadowgreater2	3100	2000	210	Heavy	2
14846	leggingsceldonshadowgreater3	3100	2000	210	Heavy	2
14847	leggingskoujiashadowgreater0	2700	1500	195	Medium	3
14848	leggingskoujiashadowgreater1	2700	1500	195	Medium	3
14849	leggingskoujiashadowgreater2	2700	1500	195	Medium	3
14850	leggingskoujiashadowgreater3	2700	1500	195	Medium	3
14851	sleevesceldonshadowgreater0	1600	2000	210	Heavy	2
14852	sleevesceldonshadowgreater1	1600	2000	210	Heavy	2
14853	sleevesceldonshadowgreater2	1600	2000	210	Heavy	2
14854	sleevesceldonshadowgreater3	1600	2000	210	Heavy	2
14855	sleeveskoujiashadowgreater0	925	1500	195	Medium	2
14856	sleeveskoujiashadowgreater1	925	1500	195	Medium	2
14857	sleeveskoujiashadowgreater2	925	1500	195	Medium	2
14858	sleeveskoujiashadowgreater3	925	1500	195	Medium	2
21150	bootscovenant	540	2000	200	Very Heavy	1
21151	bracerscovenant	540	2000	200	Very Heavy	1
21152	breastplatecovenant	2200	5000	200	Very Heavy	1
21153	gauntletscovenant	919	1000	200	Very Heavy	1
21154	girthcovenant	1099	2000	200	Very Heavy	1
21155	greavescovenant	919	2000	200	Very Heavy	1
21156	helmcovenant	600	3000	200	Very Heavy	1
21157	pauldronscovenant	720	2000	200	Very Heavy	1
21159	tassetscovenant	919	2000	200	Very Heavy	1
21373	maskmartine	100	150	150	Light	1
21527	breastplategaerlan	880	5000	350	Very Heavy	1
22013	helmbutcher	600	1200	270	Heavy	1
22014	maskvirindiprofane	300	150	220	Light	1
22015	regaliaaluvianuber	800	600	270	Light	1
22016	regaliagharundimuber	600	600	270	Light	1
22017	regaliashouber	700	600	270	Light	1
22022	maskbanderlingnew	200	150	10	Light	1
22023	maskmosswartnew	150	150	10	Light	1
22550	glovestusker	600	500	260	Heavy	1
22884	hauberkneydisanew	1050	2200	160	Heavy	4
23206	bootleatherold	200	100	20	Light	1
23590	coatursuindreadnew	900	1350	150	Light	3
23592	gauntletsmosswarthighbossnew	450	100	130	Medium	1
23777	coatamulishadowbrilliant	1600	1350	255	Light	3
23778	coatamulishadowcharged	1600	1350	255	Light	3
23779	coatamulishadowchilled	1600	1350	255	Light	3
23780	coatamulishadowhardened	1600	1350	255	Light	3
23781	coatamulishadowplated	1600	1350	255	Light	3
23782	coatamulishadowscored	1600	1350	255	Light	3
23783	coatamulishadowseared	1600	1350	255	Light	3
23784	coatamulishadowsolid	1600	1350	255	Light	3
23785	leggingsamulishadowbrilliant	2288	900	255	Light	3
23786	leggingsamulishadowcharged	2288	900	255	Light	3
23787	leggingsamulishadowchilled	2288	900	255	Light	3
23788	leggingsamulishadowhardened	2288	900	255	Light	3
23789	leggingsamulishadowplated	2288	900	255	Light	3
23790	leggingsamulishadowscored	2288	900	255	Light	3
23791	leggingsamulishadowseared	2288	900	255	Light	3
23792	leggingsamulishadowsolid	2288	900	255	Light	3
23793	breastplateceldonshadowbrilliant	3180	2500	275	Heavy	1
23794	breastplateceldonshadowcharged	3180	2500	275	Heavy	1
23795	breastplateceldonshadowchilled	3180	2500	275	Heavy	1
23796	breastplateceldonshadowhardened	3180	2500	275	Heavy	1
23797	breastplateceldonshadowplated	3180	2500	275	Heavy	1
23798	breastplateceldonshadowscored	3180	2500	275	Heavy	1
23799	breastplateceldonshadowseared	3180	2500	275	Heavy	1
23800	breastplateceldonshadowsolid	3180	2500	275	Heavy	1
23801	girthceldonshadowbrilliant	1375	1000	275	Heavy	1
23802	girthceldonshadowcharged	1375	1000	275	Heavy	1
23803	girthceldonshadowchilled	1375	1000	275	Heavy	1
23804	girthceldonshadowhardened	1375	1000	275	Heavy	1
23805	girthceldonshadowplated	1375	1000	275	Heavy	1
23806	girthceldonshadowscored	1375	1000	275	Heavy	1
23807	girthceldonshadowseared	1375	1000	275	Heavy	1
23808	girthceldonshadowsolid	1375	1000	275	Heavy	1
23809	leggingsceldonshadowbrilliant	3100	2000	275	Heavy	2
23810	leggingsceldonshadowcharged	3100	2000	275	Heavy	2
23811	leggingsceldonshadowchilled	3100	2000	275	Heavy	2
23812	leggingsceldonshadowhardened	3100	2000	275	Heavy	2
23813	leggingsceldonshadowplated	3100	2000	275	Heavy	2
23814	leggingsceldonshadowscored	3100	2000	275	Heavy	2
23815	leggingsceldonshadowseared	3100	2000	275	Heavy	2
23816	leggingsceldonshadowsolid	3100	2000	275	Heavy	2
23817	sleevesceldonshadowbrilliant	1600	2000	275	Heavy	2
23818	sleevesceldonshadowcharged	1600	2000	275	Heavy	2
23819	sleevesceldonshadowchilled	1600	2000	275	Heavy	2
23820	sleevesceldonshadowhardened	1600	2000	275	Heavy	2
23821	sleevesceldonshadowplated	1600	2000	275	Heavy	2
23822	sleevesceldonshadowscored	1600	2000	275	Heavy	2
23823	sleevesceldonshadowseared	1600	2000	275	Heavy	2
23824	sleevesceldonshadowsolid	1600	2000	275	Heavy	2
23825	breastplatekoujiashadowbrilliant	1675	1250	260	Medium	1
23826	breastplatekoujiashadowcharged	1675	1250	260	Medium	1
23827	breastplatekoujiashadowchilled	1675	1250	260	Medium	1
