level	xpAmount	newXpAmount	Name
18	1156	1218	Olthoi Grub(boygrubolthoigrubally_xp)
18	1156	1218	Olthoi Grub(boygrubolthoigrub_nofall_xp)
18	1156	1218	Olthoi Grub(boygrubolthoigrub_xp)
18	1156	1218	Olthoi Grub(boygrubolthoigrubally_nofall_xp)
18	1156	1218	Olthoi Larvae(olthoigrublow)
18	1219	1112	Skeleton Warrior(skeletonwarrior)
18	1219	1112	Skeleton Warrior(skeletonwarrior_nofall)
18	1258	1192	Auroch Fire Bull(aurochfirebull)
18	1287	1218	Tiofor Ursuin(ursuintiofor)
18	1305	1112	Tumerok Fighter(tumerokfighterfalcon)
18	1305	1112	Tumerok Fighter(tumerokfighterarcher)
18	1305	1112	Tumerok Fighter(tumerokfighterarchernofall)
18	1305	1112	Tumerok Fighter(tumerokfighternofall)
18	1305	1112	Tumerok Fighter(tumerokfighter)
18	1323	1735	Banderling Chief(banderlingchief)
18	1327	1165	Auroch Fire Cow(aurochfirecow)
18	1355	1695	Mosswart Shaman(mosswartshaman)
18	1357	1669	Dark Wisp(wispdark)
18	1358	1139	Aun Hunter(tumerokaunhunter_xp)
18	1426	1086	Crafty Simulacrum(simulacrumcrafty)
18	1481	1338	Elaniwood Golem(golemelaniwood_xp)
18	1482	1139	Mountain Rat(ratmountain)
18	1488	1112	Great Mattekar(mattekargreat)
18	1508	1510	Aste Sclavus(sclavusaste)
18	1519	1834	Greater Mu-miyah(mumiyahgreater)
18	1521	1192	Olthoi Harvester(olthoiharvester)
18	1521	1192	Olthoi Harvester(olthoiharvesterspecial_xp)
18	1521	1192	Olthoi Harvester(olthoiharvester_xp)
18	1545	1655	Broken Doll(dollbrokensummoned)
18	1545	1655	Broken Doll(dollbroken)
18	1594	1655	Broken Fragment(crystalbrokenfragment)
18	1594	1655	Broken Fragment(crystalbrokenfragmentnew)
18	1662	1470	Slithis Tentacle(slithistentacle)
18	2000	1245	Amploth Raider(lugianamplothminer)
18	2463	1245	Master of the Pack(reedsharkbossmonster)
18	2759	1642	Banderling Leader(banderlingbossmonster)
18	3000	2172	Mud Golem Sludge Lord(golemmudsludgelord)
19	822	1330	Mosswart Chief(mosswartchiefgreenmire)
19	1442	1243	Mite Squire(mitesquire)
19	1442	1243	Mite Squire(mitesquirexara)
19	1501	1843	Glissnal Niffling(niffisbabyglissnal)
19	1514	1388	Banderling Blade(banderlingyoungglenden)
19	1514	1388	Banderling Blade(banderlingblade)
20	851	2514	Tumerok Warrior(tumerokkeytwo)
20	857	1383	Old Deru(deruold)
20	977	1477	Full Deru(derufull)
20	1263	2601	Tumerok Shaman(tumerokshaman)
20	1263	2601	Tumerok Shaman(tumerokshamanaltar)
21	1127	1532	Male Tusker(tuskermale)
21	1127	1532	Male Tusker(tuskermale_tusk)
21	1127	1532	Male Tusker(tuskermale-nofall)
21	1522	1600	Amploth Lugian(lugianamploth)
21	1638	2341	Glissnal Niffis(niffisglissnal)
21	1692	1600	Gotrok Amploth(lugianamplothrenegade)
21	1741	1634	Banderling Ogre(banderlingogre)
21	1741	1634	Banderling Ogre(banderlingguardglenden)
21	1874	1532	Skeleton Captain(skeletoncaptain-nofall)
21	1874	1532	Skeleton Captain(skeletoncaptainsoulfearing_melee)
21	1874	1532	Skeleton Captain(skeletoncaptain)
21	1910	1532	Seared Skeleton(skeletonseared)
21	1918	1949	Shallow Rift(riftshallow)
21	1989	2996	Lich(zombielichsoulfearing_melee)
21	1989	2579	Lich(zombielich)
21	1989	2996	Lich(zombiesoulfearingacolytetower1)
21	1989	2996	Lich(zombiesoulfearingacolytetower2)
21	1989	2996	Lesser Acolyte(zombiesoulfearingacolytetower3)
21	1989	2996	Lich(zombielichtowerarcher)
21	1989	2996	Lich(zombielich-nofall)
21	2371	1796	Forest Lord(golemlowbossmonster)
22	2000	1691	Pallid Moarsman(moarsmanpallid)
23	1189	1821	Hollow Minion(hollowminionregicideeventholtburg)
23	1189	1821	Hollow Minion(hollowminionregicideeventwitshire)
23	1742	1742	Cutthroat(humancutthroatlow)
23	2799	1940	Master of the Herd(aurochbossmonster)
23	3000	1821	Hollow Minion(hollowminionregicide)
24	1581	1998	Olthoi Crawler(olthoicrawlernofall)
24	1581	1998	Olthoi Crawler(olthoicrawler)
25	1845	2049	Freshwater Armoredillo(armoredillofreshwater)
25	1880	2140	Crude Monouga(monougacrude)
25	2091	2049	Mite Matron(mitematron)
25	2091	2049	Mite Warrior Princess(mitematronxara)
25	2140	2140	Littoral Siraluun(siraluunlittoral_xp)
25	2207	2004	Silt Lurker(reedsharksiltlurker)
26	852	2238	Olthoi Gardener(boygrubinfestedgardener-xp)
26	1498	4708	Tumerok South Vanguard Leader(tumerokvanguardleadersouth)
26	1498	4708	Tumerok North Vanguard Leader(tumerokvanguardleadernorth)
26	1821	2238	Tusker Crimsonback(tuskercrimsonback_tusk)
26	1821	2238	Tusker Crimsonback(tuskercrimsonback-nofall)
26	2119	2433	Obeloth Lugian(lugianobeloth)
26	2276	2287	Shore Armoredillo(armoredilloshore)
26	2277	3151	Zofrit Zefir(zefirzofrit)
26	2301	2287	Hea Hunter(tumerokheahunter_xp)
26	2306	2141	Ash Gromnie(gromnieash)
26	2343	2433	Gotrok Obeloth(lugianobelothrenegade)
26	2354	2579	Sand Golem(golemsand_xp)
26	2411	3138	Horripal(frostelementalhorripal)
26	2427	2190	Aun Windreave(tumerokaunwindreave-xp)
26	2532	3430	Mosswart Chief(mosswartchief)
26	2533	3893	Tumerok Warrior(tumerokwarriorshreth)
26	2533	2190	Tumerok Standard Bearer(tumerokbannerserpent)
26	2533	2190	Tumerok Standard Bearer(tumerokbannerreedshark)
26	2533	2190	Tumerok Standard Bearer(tumerokbannermask)
26	2533	2190	Tumerok Standard Bearer(tumerokbannergromnie)
26	2533	2190	Tumerok Standard Bearer(tumerokbannershreth)
26	2533	2190	Tumerok Standard Bearer(tumerokbannerfalcon)
26	2533	3893	Tumerok Warrior(tumerokwarrior)
26	2533	3893	Tumerok Warrior(tumerokwarriornofall)
26	2533	3893	Tumerok Warrior(tumerokwarriorarcher)
26	2533	3893	Tumerok Warrior(tumerokwarriorarchernofall)
26	2555	2238	Olthoi Gardener(olthoigardener_xp)
26	2555	2238	Olthoi Gardener(olthoigardenerspecial_xp)
26	2555	2238	Olthoi Gardener(olthoigardener)
26	2565	3260	Beaten Doll(dollbeaten)
26	2565	3260	Beaten Doll(dollbeatensummoned)
26	2613	3394	Marionette(marionette)
26	2613	3005	Mad Star Marionette(marionettemadstar)
26	2733	2700	Slithis Tendril(slithistendril)
26	2764	2871	Essa Sclavus(sclavusessa)
26	2793	4039	Shadow(shadownofall)
26	3011	4708	Virindi Puppet(virindipuppet)
27	1350	2335	Hea Windreave(tumerokheawindreave_xp)
27	1848	2438	Goldenback Tusker(tuskergoldenbackdancer)
27	1864	2438	Albino Tusker(tuskeralbino-nofall)
27	1864	2438	Albino Tusker(tuskeralbino)
28	1200	3850	Marionette(marionettelo)
28	1402	3864	Zofrit Zefir(zefirzofritnofall)
28	1847	2650	Goldenback Tusker(tuskergoldenback)
28	1847	2650	Goldenback Tusker(tuskergoldenback-nofall)
28	1847	2650	Goldenback Tusker(tuskergoldenback_tusk)
28	1886	2650	Wild Monouga(monougawild)
28	2830	2594	Mosswart Fanatic(mosswartfanatic)
28	2983	3560	Mosswart Idolator(mosswartidolater)
28	3701	4085	Master of the Swamp(mosswartlowbossmonster)
28	4098	2594	Lord of Decay(skeletonlowbossmonster)
29	1852	2931	Hollow Minion(hollowminionregicidewitshire)
30	1821	2859	Tusker Crimsonback(tuskercrimsonback)
30	1842	5158	Shadow Spire Child(shadowchildspire)
30	1860	3107	Hollow Minion(hollowminionregicidespherule)
30	1860	3107	Hollow Minion(hollowminionregicidehusk)
30	2000	5469	Baron of Colier(undeadbaronminer)
30	2000	5469	Wari al Sha'im(undeaddefender)
30	2000	6447	Guardian of the Helm(undeadflaminghelm)
30	2000	5469	Tortured Soul(zombielichtortured)
30	2517	2796	Ursuin Slasher Cub(ursuinbabyslasher)
30	2649	2796	Linvak Ursuin Cub(ursuinbabylinvak)
30	2753	2796	Ashen Moarsman(moarsmanashen)
30	2793	5158	Shadow(shadow)
30	3635	5220	Hea Shaman(tumerokshamantanua_xp)
30	3707	2921	Hea Warrior(tumerokwarriortanua-xp)
31	2500	5458	Ler Rhan(shadowlerrhanbeta)
31	2500	3091	Rank Moarsman(moarsmanrankfishingevent)
31	2500	5458	Ler Rhan(shadowlerrhangamma)
31	2500	5458	Ler Rhan(shadowlerrhanalpha)
31	3125	5458	Shadow(shadowtufa)
32	1223	3127	Olthoi Nymph(boygrubinfestednymph-xp)
32	2665	3752	Ursuin Slasher(ursuinslasher)
32	2674	5194	Granite Golem(rockslidec)
32	2674	4100	Cave-in(rockslideb)
32	2805	3752	Linvak Ursuin(ursuinpolar)
32	2805	3752	Linvak Ursuin(ursuinlinvak)
32	2915	3127	Lava Moarsman(moarsmanlava)
32	3525	3196	Olthoi Nymph(olthoinymph)
32	3525	3196	Olthoi Nymph(olthoinymphnofall)
32	3600	4760	Fenmalain Satellite Fragment(crystalfenmalainsatellite)
32	3611	5298	Devious Shadow(shadowdevious)
32	3716	3057	Silver Rat(ratsilver)
32	3860	3544	Risen Soldier(zombierisen)
32	4283	3057	Silver Rat(ratblackglenden)
33	4432	3226	Dire Mattie(mattekarbabydire)
34	800	5754	Scrawed Grievver(grievverscrawledtufa)
34	1847	4595	Foreman Brelax(skeletonbrelax)
35	1500	7902	Tumerok Priest(tumerokoghampriest)
35	1528	3819	Olthoi Drone(boygrubinfesteddrone-xp)
35	1743	5444	Innocuous Doll(dollinnocuouslo)
35	1900	6723	Hebian-To Camp Major(tumerokhebiancampb)
35	1900	6723	Cragstone Camp Major(tumerokcragstonecampb)
35	1900	6723	Zaikhal Camp Major(tumerokzaikhalcampb)
35	2000	3819	Tumerok Gladiator(tumerokoghamgladiator)
35	2054	8673	Lord Cambarth(skeletoncambarth)
35	2405	3575	Tusker Minion(humantuskerminion)
35	2427	4997	Tusker Minion(humantuskerminionmage)
35	3600	3656	Olthoi Soldier Grub(olthoigrubsoldier)
35	3806	5180	Nasty Scarecrow(scarecrownasty)
35	3899	4388	Esper Ursuin(ursuinesper)
35	3899	4388	Marae Ursuin(ursuinmarae_xp)
35	3936	3981	Lithos Lugian(lugianbokrok)
35	3936	3981	Lithos Lugian(lugianlithos)
35	3936	3981	Lithos Lugian(lugiankroktok)
35	3981	6073	Granite Golem(golemgranite_nofall)
35	3981	5789	Granite Golem(golemgranite)
35	4000	5322	Fragment(crystalfragment)
35	4110	4631	Iron Golem(golemiron)
35	4110	5058	Iron Golem(golemiron-nofall)
35	4110	5058	Iron Golem Guardian(golemironsmallarchive)
35	4152	5403	Scourge(acidelementalscourge)
35	4175	3819	Hea Warrior(tumerokheawarrior_xp)
35	4278	3819	Jungle Reaver(reedsharkjunglereaver)
35	4278	3819	Dune Reaver(reedsharkdunereaver)
35	4290	3981	Gotrok Lithos(lugianlithosrenegade)
35	4292	4834	Skeleton Lord(skeletonlordfortarcher)
35	4292	4834	Skeleton Lord(skeletonlord)
35	4292	4834	Skeleton Lord(skeletonlordarcher)
35	4292	3981	Skeleton Lord(skeletonlord_melee)
35	4301	3656	Laigus Raider(lugianlaigusraider)
35	4301	3656	Laigus Raider(lugianlaigusminer)
35	4328	4205	Ithik Stalk(slithisithikstalk)
35	4328	5058	Slithis Eye Stalk(slithiseyestalk)
35	4347	5322	Fragment(crystalfragmentnew)
35	4385	5159	Battered Doll(dollbatteredsummoned)
35	4385	5159	Battered Doll(dollbattered)
35	4387	5322	Idol(idol)
35	4582	3981	Olthoi Drone(olthoidrone)
35	4666	4225	Dire Mattekar(mattekardire)
35	4722	5992	Dark Marionette(marionettedetached)
35	4722	5992	Dark Marionette(marionettedark)
35	7638	7089	Virindi Servant(virindi)
35	20000	15600	Iron Golem Kingpin(golemironkingpin)
38	2203	6668	Pristine Doll(dollpristinelo)
39	3939	4425	Carenzi Burrower(carenziburrower_xp)
39	5149	4622	Rank Moarsman(moarsmanrank)
39	5173	4622	Amploth Raider(lugianamplothraider)
39	5197	5212	Bronze Statue of a Banderling(statuereplicamidbanderlingsmall)
39	5211	5310	Copper Golem(golemcopper)
40	2677	5657	Martinate Simulacrum(simulacrumregicide)
40	3000	7869	Tenuous Nephol Golem(golemnephollow_nostone)
