0800000E	080002B3
0800093B	080003A7
0800093C	080004F9
0800093E	080004E6
08000941	08000531
08000942	080004E5
08000944	0800067A
08000946	08000286
08000947	0800019F
08000948	08000130
08000949	080001F1
0800094A	08000131
08000969	08000CEE
08000986	080004D3
080009B1	08000566
080009B2	08000596
080009BA	08000070
080009BB	08000532
080009C4	08000927
080009C5	080008CA
080009C6	080005AB
080009FC	08000515
080009FD	08000514
08000A00	08000B63
08000A0F	08000530
08000A11	08000513
08000A1F	080009B1
08000A22	080000E2
08000A25	080007E1
08000A2B	080007E7
08000A2C	080007E6
08000A60	0800012A
08000A65	08000769
08000A66	0800076B
08000A69	080003FE
08000A6A	0800007F
08000A6B	080003FF
08000A71	080001A4
08000A76	08000BA7
08000A77	08000BA8
08000A8A	080002D7
08000A9C	08001535
08000A9D	08001536
08000AA2	080005D2
08000AA3	080005D1
08000AAC	08000BED
08000AAE	08000BEC
08000AB5	08000B6C
08000AB6	08000B6B
08000AC0	08000844
08000AC2	080004BA
08000AC8	08000D48
08000AC9	08000D4B
08000ACA	08000D4C
08000ACB	08000D4E
08000ACC	08000D4A
08000ACD	08000D49
08000ACF	08001288
08000AD0	08000D4D
08000AD1	08000BB5
08000AD2	08000BB6
08000AD4	08000B75
08000AD5	08000B76
08000AF2	0800045E
08000AF3	0800045D
08000AF5	080004D1
08000AF7	080004FA
08000AF8	080001B3
08000AF9	080001B4
08000AFA	0800050B
08000AFB	080004D0
08000AFC	080009E9
08000AFD	080009E8
08000AFE	080009E6
08000AFF	080009E4
08000B00	080009E5
08000B01	080009EB
08000B02	080009E7
08000B06	08000433
08000B07	080003EC
08000B08	0800057D
08000B34	08000940
08000B40	080004E9
08000B51	08000946
08000B60	080008BE
08000B73	08000011
08000B76	080008B0
08000B77	0800071A
08000B90	08000B33
08000B91	08000B32
08000BAF	0800053C
08000BB2	0800060B
08000BBE	08000227
08000BC9	080008D7
08000BCF	080008D9
08000BD0	080008DA
08000BD1	080001CB
08000BD4	080000E3
08000BD5	080003EA
08000BD6	08000224
08000BD7	08000280
08000BD8	0800041E
08000BD9	0800041D
08000BDA	08000BAE
08000BDB	080001F9
08000BE1	08000BD7
08000BE2	08000D10
08000BE3	0800041F
08000BE6	080001D0
08000BEA	08000BD8
08000BEB	08000D0F
08000BF2	080005D3
08000BF3	080001C6
08000BF6	080004CB
08000BF7	080004CA
08000BF9	080004B2
08000BFA	080004B4
08000BFE	0800022C
08000C12	08000606
08000C15	08000704
08000C17	08000707
08000C18	08000705
08000C23	080006F9
08000C26	080006F8
08000C29	08000043
08000C2A	08000046
08000C2B	08000044
08000C2C	08000047
08000C2D	0800004C
08000C2E	08000045
08000C37	08000745
08000C4A	08000AFD
08000C4C	08000D44
08000C57	080006E1
08000C58	080006E2
08000C5B	08000B3B
08000C61	080011F5
08000C69	080007E8
08000C83	08000076
08000C8A	08000221
08000CA0	0800006E
08000CA9	0800006D
08000CAA	0800006F
08000CE9	080000E6
08000CEA	080000E5
08000CEB	08000071
08000CED	08000220
08000CEE	08000072
08000CEF	08000222
08000CF0	08000C38
08000CF1	08000066
08000CF2	0800007E
08000CF3	080005CB
08000D09	08000C37
08000D17	08000A64
08000D1E	08000079
08000D1F	08000077
08000D20	08000078
08000D24	08000B39
08000D27	08000741
08000D29	08000743
08000D2B	08000740
08000D2E	080006E5
08000D2F	080006E4
08000D3C	08000302
08000D3F	080002EB
08000D42	08000030
08000D43	080002E8
08000D4B	0800049C
08000D4D	080002ED
08000D4E	08000C59
08000D50	08000258
08000D53	08000758
08000D54	080006DC
08000D5A	08000608
08000D62	080004C5
08000D63	080002E6
08000D65	08000327
08000D66	08000324
08000D68	08000D2C
08000D69	08000328
08000D6B	080002B1
08000D6D	08000329
08000D7D	08000609
08000D7E	080002F3
08000D86	080002FB
08000D8B	08000319
08000D91	0800031C
08000D95	080002F1
08000D97	08000321
08000D99	080002F9
08000D9B	080007D9
08000DA2	080006DD
08000DB4	080006DF
08000DB9	080013A6
08000DBF	08000661
08000DD3	08000323
08000DD4	08000C35
08000DD5	08000CB2
08000DD6	08000D50
08000DD7	0800031B
08000DD8	08000CB4
08000DDA	08000C22
08000DDB	08000320
08000DDC	0800030A
08000DDD	080002EF
08000DEA	080006B1
08000DED	0800078E
08000DEE	0800078D
08000DEF	08000C33
08000DF3	080006BC
08000DF4	080006BD
08000DF5	08000064
08000DF8	08000756
08000DF9	08000757
08000E00	080006BE
08000E01	080006BF
08000E02	0800078F
08000E07	080001F8
08000E0E	080006E9
08000E0F	080006EA
08000E10	08000314
08000E11	08000D2D
08000E12	08000317
08000E18	080006F0
08000E1C	08000B38
08000E1D	080005CF
08000E1E	0800057B
08000E1F	08000311
08000E20	0800057A
08000E23	08000313
08000E27	08000D2B
08000E28	080000A1
08000E2E	0800049B
08000E31	080005FA
08000E33	080005D0
08000E39	0800005D
08000E3A	080004EF
08000E46	080002B4
08000E48	080002BA
08000E4C	0800073D
08000E4E	0800073C
08000E52	080006B4
08000E53	0800075A
08000E55	0800075C
08000E59	0800073F
08000E5A	080006E0
08000E5F	080012A6
08000E85	08000312
08000EA4	080003C7
08000EA7	080003C9
08000EAA	080003C8
08000EAE	080006D0
08000EAF	080006D9
08000EB0	08001384
08000EB3	080006D1
08000EB5	0800104A
08000EBB	08000083
08000EBE	08000CF3
08000EBF	080005D4
08000EC0	08000B29
08000EE2	08000CAE
08000EE3	08000CAF
08000EE4	08000CB0
08000EE5	08000CB1
08000F07	080001ED
08000F22	08000124
08000F23	08000121
08000F24	08000123
08000F25	08000125
08000F26	08000126
08000FA1	08000AC6
08000FA2	08000AC7
08000FA8	08000AC8
08000FAA	08000A20
08000FAB	08000A1C
08000FAC	08000A1D
08000FAD	08000A1F
08000FB1	08000A21
08000FB2	0800000D
08000FB6	08000BEB
08000FB7	08000BF5
08000FBC	0800007C
08000FC0	08000902
08000FC3	0800007A
08000FC5	0800007B
08000FC6	08000906
08000FC7	08000903
08000FC8	08000907
08000FC9	08000904
08000FCA	08000905
08000FCC	08000D4F
08000FD7	08000082
08000FD9	08000589
08000FDC	0800058B
08000FE3	08000B2D
08000FE4	0800058A
08000FE5	08000B2F
08000FE6	08000588
08000FE7	08000B2E
08000FED	080005CE
08000FEF	080005CD
08000FF1	08000A39
08000FF3	08000B3A
0800100F	08000D43
08001010	08000D46
08001011	08000D2A
08001013	08000D45
08001014	08000D47
08001017	08000084
08001018	08000087
08001020	08000AFE
08001022	080006B6
08001023	080006B7
0800102E	080006FD
08001030	080006B8
08001032	0800070F
08001038	080002F7
0800103C	08000593
0800103D	08000592
08001041	08000591
08001042	08000C42
08001043	08000C41
08001044	08000D52
08001047	080002F8
08001048	080005BC
0800104A	08000C66
0800104B	08000D18
0800104D	08000C64
0800104F	080005BB
08001051	08000C65
08001052	08000D17
08001054	08000C63
08001056	08000C51
08001057	08000C50
08001058	08000089
08001059	08000088
0800105B	08000D53
0800105C	08000C5C
0800105D	08000C5B
0800105E	08000C77
0800105F	08000C76
08001066	0800008A
08001067	0800008B
08001069	0800008E
0800106A	0800008D
0800106B	0800008F
0800106D	0800008C
0800106E	08000B27
08001079	080006B3
0800107A	080006B2
0800107B	08000401
0800107C	080005F3
0800107D	08000400
0800109A	080000D1
0800109F	080001B8
080010A0	080006B9
080010A1	080000D5
080010A2	080000D3
080010A3	080000D4
080010A4	080000D8
080010D2	08001305
080010D3	08000024
080010D4	08000025
080010DA	08000023
080011FE	0800004D
08001218	08000A8E
08001219	08000A8F
0800121A	08000A90
0800121B	08000A91
0800121C	08000A92
08001231	080001D2
08001238	08000080
0800123D	08000316
08001241	08000090
08001242	08000067
08001243	08000069
08001244	08000065
08001245	08000B87
08001249	08000022
0800124B	08000597
0800125A	080000C5
08001260	08000038
08001262	08000051
08001263	0800004E
08001264	0800004F
08001265	08000050
08001266	08000056
08001267	08000053
08001268	08000054
08001269	08000055
0800126A	0800005A
0800126B	08000057
0800126C	08000058
0800126D	08000059
0800126E	0800004B
0800126F	08000048
08001270	08000049
08001271	0800004A
08001273	0800006B
08001277	0800006C
0800127A	080012A8
0800127B	08000510
08001282	0800094C
08001291	0800006A
08001293	08000163
08001294	08000162
08001296	08000068
08001297	08000081
08001299	08000143
0800129A	08000107
080012A6	08001713
080012A7	08001712
080012AA	080009ED
080012AB	08000D28
080012AC	08000D34
080012AD	08000D32
080012AE	080009EF
080012B9	0800063D
080012C7	08000498
080012CA	080004B9
080012CB	08000C24
080012CF	08000D59
080012D0	08000A44
080012D1	08000D58
080012D3	08000D57
080012D9	08000039
080012DA	08000010
080012E1	08000CA0
080012E2	08000CA1
080012E3	08000CA2
080012E4	08000CA9
080012E5	08000CA8
080012E6	08000CA5
080012E7	08000CA6
080012E8	08000C9D
080012E9	08000C9E
080012EA	08000C99
080012EB	08000C9A
080012EC	080009CF
080012ED	08000C9C
080012EF	08000C90
080012F0	08000C8F
080012F1	08000CA3
080012F2	08000318
080012F6	0800031A
080012FE	080002E9
080012FF	080002EA
08001300	08000C40
08001301	080002EC
08001302	08000C5A
08001303	080002EE
08001304	08000031
08001306	08000C34
08001308	080002E7
08001309	0800030E
0800130A	08000315
0800130B	080009B8
0800130C	08000309
0800130D	08000303
0800130E	080002FF
0800130F	080002B2
08001310	08000304
08001311	080002F2
08001312	0800030B
08001313	08000AA7
08001314	08000CB3
08001315	08000CB5
08001316	08000D51
08001317	080008CD
08001318	08000C36
08001319	080006DB
0800131A	080002F0
0800131B	08000C3E
0800131D	080002F6
08001321	080002FE
08001324	08000301
08001326	08000310
08001328	08000306
08001329	0800030D
0800132A	08000308
0800132B	080002F4
0800132C	0800031D
0800132E	08000322
0800132F	080002FA
08001330	080002FC
08001331	08000041
08001335	0800013F
0800133E	080002F5
08001340	08000300
08001341	08000307
08001342	0800030C
08001343	08000305
08001344	0800030F
08001345	080002FD
0800134B	080000E4
0800134E	08000154
08001350	08000153
08001352	0800003F
08001353	08000040
0800135A	08000C3F
0800135B	080002D5
0800135C	08000990
0800135D	08000992
0800135F	08000120
08001360	08000106
0800136D	08000CA7
0800136E	08000108
0800136F	08000256
08001370	080000BE
08001380	0800098F
08001382	08000991
08001384	080003E5
08001385	08000D1B
08001387	0800015A
08001389	08000164
0800138A	0800047F
0800138B	08000158
0800138D	08000165
0800138E	0800015B
0800138F	0800096A
08001390	08000159
08001391	08000480
08001392	080001F3
08001395	08000710
08001396	08000D5D
0800139F	08000D5E
080013A9	08000236
080013AC	08000140
080013AE	080001A6
080013BF	08000BE9
080013C1	08000D1A
080013C2	08000D19
080013C3	08000CF5
080013C4	0800050E
080013C5	080005A5
080013C6	08000213
080013C7	080004B5
080013C8	08000212
080013C9	08000446
080013CA	08000103
080013CB	08000104
080013CC	08000334
080013CD	08000448
080013CE	08000211
080013CF	08000A0E
080013D0	080007B0
080013D1	08000520
080013D2	08000521
080013D3	08000868
080013D4	08000105
080013D5	08000675
080013D6	08000672
080013D7	08000673
080013D8	08000674
080013DF	08000852
080013EB	08000C79
080013ED	08000237
080013FB	08000AF3
080013FE	08000AA5
080013FF	08000A19
08001400	08000D6F
08001404	08000D70
08001407	0800001A
08001408	08000019
08001413	08000CAC
08001414	08000CAD
08001415	08000CAA
08001416	080004A2
08001417	08000CAB
08001421	08000151
08001423	08000D42
08001425	08000D55
08001426	08000969
08001427	080004F0
08001428	08000214
08001435	08000AA6
08001443	080007DC
08001444	080007DE
08001447	08000190
08001448	080001A7
08001449	080001EE
0800144B	08000457
0800144C	080006B5
08001451	080009EE
08001455	08000D29
08001457	08000D33
08001458	08000D35
08001459	080009F0
0800145A	080003E4
0800145C	08000CA4
0800145D	08000C9B
08001460	08000C9F
08001466	080001A8
08001467	080001A9
08001468	080001AA
08001469	080001AB
0800146A	080001AC
08001474	08000D6C
08001475	08000D6B
08001479	08000D3F
0800147A	08000D12
0800147B	08000D5F
0800147D	08000D60
0800147E	08000D40
0800147F	08000CFB
08001480	08000D61
08001481	08000D15
08001482	08000D1D
08001483	08000D62
08001485	08000D14
08001486	08000D64
08001487	08000D66
08001489	08000D20
0800148A	08000D30
0800148B	08000D2E
0800148D	08000D24
0800148E	08000D22
0800148F	08000D1E
08001491	08000CF6
08001492	08000CF7
08001493	08000D6E
08001494	08000CF8
08001496	08000D11
08001497	08000D13
08001498	08000D5B
08001499	08000CF9
0800149E	08000D2F
0800149F	08000D1F
080014A0	08000D23
080014A1	08000D31
080014A2	08000D63
080014A3	08000D65
080014A4	08000D67
080014A5	08000D25
080014A6	08000D21
080014AA	08000C31
080014AC	0800096B
080014AD	0800096C
080014AF	08000D6D
080014B1	08000C23
080014B2	08000CB6
