3657	16	32
3658	5	10
3659	8	20
3660	4	12
3661	8	15
3662	8	15
3663	10	20
3664	16	32
3665	10	20
3666	16	32
3667	10	20
3668	16	32
3669	10	20
3670	16	32
3671	10	20
3672	16	32
3673	10	20
3674	16	32
3675	10	20
3676	16	32
3677	10	20
3678	16	32
3805	30	60
3806	30	60
3807	30	60
3808	30	60
